name,team,battingStyle,bowlingStyle,playingRole,description
Nicholas Pooran,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter,"Nicholas Pooran confirmed his status as one of the most exciting young batting talents in the modern game with a sublime innings of 118 off 103 in West Indies' defeat to Sri Lanka at the 2019 World Cup, but only four years earlier the idea that he would play international cricket seemed fanciful."
Kabua Morea,P.N.G.,Right hand Bat,Left arm Medium,Bowler,
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler,"In 2019, Joseph was signed by Mumbai Indians as an injury replacement for Adam Milne, and in his first game, against Sunrisers Hyderabad, he returned figures of 6 for 12, the best figures by a bowler in the IPL. "
Brandon King,West Indies,Right hand Bat,,Top order Batter,"A step-up to the national squad seemed the natural order of things, but though King produced acceptable, if not earth-shattering performances in limited-overs series against Afghanistan, India, Sri Lanka and New Zealand, he was dropped from the side in late 2020. On his recall a year later, he scored fifties in T20Is against Pakistan and England, and an unbeaten 58 and 91 in an ODI series win against Netherlands.
"
Imad Wasim,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Also a factor in his rise up the ranks was his first-class experience - he struck a half-century for Islamabad on debut in 2007, took an eight-for in 2013 and clattered a maiden double-hundred in 2014. Imad made his T20I debut when cricket returned to Pakistan six years after the Lahore attack in 2009, and represented his country in the World T20 that followed in 2016. 
ESPNcricinfo staff"
Abbas Afridi,Pakistan,Right hand Bat,Right arm Medium fast,Bowler,
Abbas Afridi,Pakistan,Right hand Bat,Right arm Medium fast,Bowler,
Saim Ayub,Pakistan,Left hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter,
Mohammad Rizwan,Pakistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter,"On the domestic circuit, Rizwan has been a prolific run-accumulator, averaging a shade under 50 in List A cricket and 41 at first-class level. He doesn't, however, seem to have the shots necessary to make him a valuable asset in T20Is, but with that being Sarfaraz's strongest suit, both as a batsman and captain, it would have been hard to dislodge him in the format at any rate. "
Imad Wasim,Pakistan,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Also a factor in his rise up the ranks was his first-class experience - he struck a half-century for Islamabad on debut in 2007, took an eight-for in 2013 and clattered a maiden double-hundred in 2014. Imad made his T20I debut when cricket returned to Pakistan six years after the Lahore attack in 2009, and represented his country in the World T20 that followed in 2016. 
ESPNcricinfo staff"
Fayyaz Butt,Oman,Right hand Bat,Right arm Medium fast,Bowler,
Fayyaz Butt,Oman,Right hand Bat,Right arm Medium fast,Bowler,
Karan KC,Nepal,Right hand Bat,Right arm Fast,Allrounder,"In July 2018, Karan was called up to the ODI squad and debuted against Netherlands in Nepal's first-ever game since they secured ODI status. In June 2022, he picked up his first five-wicket haul in the format, though it came in a loss to Oman in the ICC Cricket World Cup League 2. "
Charles Amini,P.N.G.,Left hand Bat,Legbreak,Allrounder,"But Amini is perhaps best known for his dynamic fielding. Whether it is pulling off outrageous one-handed catches or his electric speed to the ball before firing direct hits into the stumps, he has built a reputation as a fielder not worth taking unnecessary risks on."
Dinesh Nakrani,Uganda,Left hand Bat,Left arm Medium,Allrounder,
Cosmas Kyewuta,Uganda,Right hand Bat,Right arm Medium,Bowler,
Kenneth Waiswa,Uganda,Right hand Bat,Right arm Medium,Allrounder,
Roger Mukasa,Uganda,Right hand Bat,Right arm Offbreak,Batter,
Brian Masaba,Uganda,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",Bowler,
Simon Ssesazi,Uganda,Left hand Bat,Right arm Slow,Wicketkeeper Batter,
Frank Nsubuga,Uganda,Right hand Bat,Right arm Offbreak,Allrounder,
Robinson Obuya,Uganda,Right hand Bat,,Batter,
Dinesh Nakrani,Uganda,Left hand Bat,Left arm Medium,Allrounder,
Riazat Ali Shah,Uganda,Right hand Bat,Right arm Medium,Batting Allrounder,
Juma Miyagi,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Alpesh Ramjani,Uganda,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Juma Miyagi,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Frank Nsubuga,Uganda,Right hand Bat,Right arm Offbreak,Allrounder,
Alpesh Ramjani,Uganda,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Cosmas Kyewuta,Uganda,Right hand Bat,Right arm Medium,Bowler,
Brian Masaba,Uganda,Right hand Bat,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",Bowler,
Sagar Dhakal,Nepal,Right hand Bat,Slow Left arm Orthodox,Bowler,
Sagar Dhakal,Nepal,Right hand Bat,Slow Left arm Orthodox,Bowler,
Rafiullah,Oman,Right hand Bat,Right arm Medium,Bowler,
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler,"But it proved to be something of a false dawn. After a quiet 2017, Wheal missed most of the 2018 season with a stress fracture in his spine, and his recovery kept him out for much of the following campaign.

ESPNcricinfo staff
"
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder,
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler,"When Scotland made a charge to the ODI World Cup Qualifiers in 2023, topping the table in the World Cricket League Division 2, Watt turned in crucial performances: in Aberdeen in 2022, he took 11 wickets in three games, against USA and UAE. He went a notch better in December that year and February 2023, when in seven games against Nepal and Namibia in Windhoek and Kirtipur, he took 20 wickets. Scotland ended up with 24 wins from their 36 games in the league. Watt played all but five of those ODIs, taking 54 wickets and finishing fourth on the WCL 2 wicket-takers' table for that cycle.
"
Matthew Cross,Scotland,Right hand Bat,,Wicketkeeper Batter,"Despite that lack of success, Cross is considered arguably the finest pure wicketkeeper of his era in Associate cricket. His leg-side stumping of England's James Taylor standing up to the medium pace of Josh Davey at the 2015 World Cup was the first of many highlight-reel-worthy dismissals."
Brandon McMullen,Scotland,Right hand Bat,Right arm Medium,Batting Allrounder,
Chris Sole,Scotland,Right hand Bat,Right arm Fast medium,Bowler,
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler,
Richie Berrington,Scotland,Right hand Bat,Right arm Medium fast,Top order Batter,"Berrington had played for Scotland's Under-19 side while still eligible for their Under-17s, and was part of the squad that took part in the Under-19 World Cup in Sri Lanka in February 2006. Progressing through the Scottish A side, he made his ODI debut against Ireland at Aberdeen in July 2008, hitting the winning runs as Scotland won by five wickets."
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler,He played for Derbyshire in the 2018 Royal London One-Day Cup and T20 Blast tournaments.
Naseem Khushi,Oman,Right hand Bat,,Wicketkeeper,
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler,"Of Sri Lankan background and a 187cm frame, Agar had the pedigree and the physical attributes to suggest his left-arm spin would be successful, impressing many on his first-class debut for WA against New South Wales at Blacktown Oval. "
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter,
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter,"If that wasn't enough to grab headlines, then hitting six sixes in an over less than two months later did the trick while batting for Kabul Zwanan against Balkh Legends in the inaugural season of the Afghanistan Premier League in Sharjah. Having already bashed a 44-ball ton earlier in the tournament, Zazai's intimidation factor grew exponentially when he became the sixth batsman in competitive cricket, and third in T20s, to achieve the six sixes feat after carving up left-arm spinner Abdullah Mazari to put his name alongside Yuvraj Singh and Garry Sobers, among others, in the record books. Hidden in the euphoria of the six sixes was the fact that Zazai matched Yuvraj and Chris Gayle for the fastest fifty in all T20 cricket off 12 balls. "
Finn Allen,New Zealand,Right hand Bat,,Top order Batter,
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,He made his Test debut later that year in the first ever day-night Test against Australia in Adelaide and made 31 and 45 batting at No.6 in both innings in a low-scoring game. He also took two wickets. Over the next four years his Test opportunities were limited but he became a mainstay in the white-ball teams for the Black Caps. 
Rachin Ravindra,New Zealand,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,"- After his bumper success at the 2023 ODI World Cup, Rachin Ravindra was picked by Chennai Super Kings (CSK) for INR 1.8 crore."
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Allrounder,
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"In February 2014, Neesham made a century on Test debut against India and was at the other end when skipper Brendon McCullum became the first Black Cap to score a Test triple century. He became just the eighth player in Test history to score hundreds in his first two Tests when he made a century against West Indies in Jamaica."
James Neesham,New Zealand,Left hand Bat,Right arm Medium fast,Batting Allrounder,"In February 2014, Neesham made a century on Test debut against India and was at the other end when skipper Brendon McCullum became the first Black Cap to score a Test triple century. He became just the eighth player in Test history to score hundreds in his first two Tests when he made a century against West Indies in Jamaica."
Kane Williamson,New Zealand,Right hand Bat,Right arm Offbreak,Top order Batter,"By the time Kane Williamson is finished with playing cricket, it is probable that he will be New Zealand's greatest batsman. Even Martin Crowe endorsed that view. But he may also finish as one of the game's most loved global figures. Williamson is ambidextrous, bats right-handed in the top order across formats, and has become a pillar of the New Zealand side since he made his debut in 2010."
Glenn Phillips,New Zealand,Right hand Bat,Right arm Offbreak,Allrounder,
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,"The transition to senior cricket, though, was not quite seamless. Boult suffered a stress fracture of the back in 2009 which put him out of cricket for two years and taught him to concentrate on strength and conditioning. There was speculation that the injury was a consequence of tinkering with his bowling action. So, under the supervision of one of his idols, Shane Bond, Boult reverted to the action he had used as a boy and the results were more than promising. By 2015, he was capable of long spells without wavering too far below the 140kph mark. He became one of New Zealand's irreplaceable players across formats and one of many protagonists in the side's march to their first World Cup final in 2015. "
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,"Ferguson was picked in the ODI team that went to Australia in December 2016, after an injury to Adam Milne had left them lacking an out-and-out fast bowler. Making his debut in Sydney, Ferguson took the wicket of David Warner in his first over."
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,In 2022 he was named as New Zealand's Test captain when Kane Williamson stood down from the role.
Devon Conway,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"A call-up to the national side seemed inevitable, though Conway had to bide his time to be eligible to play for New Zealand. When he did, in 2020 at the age of 29, he acquitted himself admirably and soon proved he had what it takes as a solid all-format batter at the top of the order. He scored three fifties in his first five T20Is, including a 99 not out against Australia in Christchurch in early 2021 that set up a series win."
Tim Southee,New Zealand,Right hand Bat,Right arm Medium fast,Bowler,In 2022 he was named as New Zealand's Test captain when Kane Williamson stood down from the role.
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,He made his Test debut later that year in the first ever day-night Test against Australia in Adelaide and made 31 and 45 batting at No.6 in both innings in a low-scoring game. He also took two wickets. Over the next four years his Test opportunities were limited but he became a mainstay in the white-ball teams for the Black Caps. 
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder,"Mitchell made his first-class debut at the end of the 2011-12 season and averaged 54.53 the following year. Though primarily a middle-order batter, his seam bowling became a useful asset over the years. He won a place in a New Zealand A squad to tour India and Sri Lanka, and while he found life tougher there, he responded with centuries in successive innings the following domestic season. An unbeaten 170 against Canterbury shortly before the England series in 2019 ensured he was in the frame for the debut that followed."
Daryl Mitchell,New Zealand,Right hand Bat,Right arm Medium,Batting Allrounder,"Mitchell made his first-class debut at the end of the 2011-12 season and averaged 54.53 the following year. Though primarily a middle-order batter, his seam bowling became a useful asset over the years. He won a place in a New Zealand A squad to tour India and Sri Lanka, and while he found life tougher there, he responded with centuries in successive innings the following domestic season. An unbeaten 170 against Canterbury shortly before the England series in 2019 ensured he was in the frame for the debut that followed."
Trent Boult,New Zealand,Right hand Bat,Left arm Fast medium,Bowler,"The transition to senior cricket, though, was not quite seamless. Boult suffered a stress fracture of the back in 2009 which put him out of cricket for two years and taught him to concentrate on strength and conditioning. There was speculation that the injury was a consequence of tinkering with his bowling action. So, under the supervision of one of his idols, Shane Bond, Boult reverted to the action he had used as a boy and the results were more than promising. By 2015, he was capable of long spells without wavering too far below the 140kph mark. He became one of New Zealand's irreplaceable players across formats and one of many protagonists in the side's march to their first World Cup final in 2015. "
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler,
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,Mahedi's performance has helped Khulna win four of the last five National Cricket League first-class competitions. His all-round skill was also crucial to South Zone winning the last two Bangladesh Cricket League first-class tournaments. 
Mahedi Hasan,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder,Mahedi's performance has helped Khulna win four of the last five National Cricket League first-class competitions. His all-round skill was also crucial to South Zone winning the last two Bangladesh Cricket League first-class tournaments. 
Lockie Ferguson,New Zealand,Right hand Bat,Right arm Fast,Bowler,"Ferguson was picked in the ODI team that went to Australia in December 2016, after an injury to Adam Milne had left them lacking an out-and-out fast bowler. Making his debut in Sydney, Ferguson took the wicket of David Warner in his first over."
Mark Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Shai Hope,West Indies,Right hand Bat,,Wicketkeeper Batter,"Hope made his first-class debut in 2012-13, but propelled himself into consideration for the West Indies team after a superb season in 2014-15, when he scored 628 runs in nine matches - he was the fourth-highest run-getter in the tournament. He racked up 538 runs at 67.25 in 2015-16 - the highest average among the top-10 - and secured his maiden first-class double-hundred at his homeground, Kensington Oval, in March 2017ESPNcricinfo staff
"
Matt Henry,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,Henry would make his Test debut at Lord's on the subsequent tour of England and made an immediate impression taking 4 for 93 in the first innings. Over the next four years his body held up well as he was a fairly regular member of New Zealand's Test and ODI sides and played the occasional T20I. 
Matt Henry,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,Henry would make his Test debut at Lord's on the subsequent tour of England and made an immediate impression taking 4 for 93 in the first innings. Over the next four years his body held up well as he was a fairly regular member of New Zealand's Test and ODI sides and played the occasional T20I. 
Michael Bracewell,New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Surprisingly, despite his big scores and the ability to hit straight, over cover and behind the wicket with ease, Bracewell wasn't picked up in the 2022 and 2023 IPL auctions. In January 2023, he showed the scouts what they had missed when he so nearly pulled off another incredible chase, this time in Hyderabad. Pursuing India's 350, New Zealand were 110 for 5 when Bracewell walked in in the 25th over. He hit 12 fours and ten sixes in his 78-ball 140, threatening to overshadow Shubman Gill's double-century from earlier in the match. When he was the last man out in the final over, New Zealand were only 13 runs short of the target. "
Michael Bracewell,New Zealand,Left hand Bat,Right arm Offbreak,Batting Allrounder,"Surprisingly, despite his big scores and the ability to hit straight, over cover and behind the wicket with ease, Bracewell wasn't picked up in the 2022 and 2023 IPL auctions. In January 2023, he showed the scouts what they had missed when he so nearly pulled off another incredible chase, this time in Hyderabad. Pursuing India's 350, New Zealand were 110 for 5 when Bracewell walked in in the 25th over. He hit 12 fours and ten sixes in his 78-ball 140, threatening to overshadow Shubman Gill's double-century from earlier in the match. When he was the last man out in the final over, New Zealand were only 13 runs short of the target. "
Milind Kumar,U.S.A.,Right hand Bat,Right arm Offbreak,Allrounder,
Shadley van Schalkwyk,U.S.A.,Left hand Bat,Right arm Medium,Allrounder,
Dilon Heyliger,Canada,Right hand Bat,Right arm Medium,Bowler,
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Shadley van Schalkwyk,U.S.A.,Left hand Bat,Right arm Medium,Allrounder,
Pargat Singh,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Navneet Dhaliwal,Canada,Right hand Bat,Right arm Medium fast,Middle order Batter,
Aaron Johnson,Canada,Right hand Bat,Right arm Offbreak,Batter,
Nicholas Kirton,Canada,Left hand Bat,,Batting Allrounder,
Jeremy Gordon,Canada,Right hand Bat,Right arm Fast medium,Bowler,
Kaleem Sana,Canada,Right hand Bat,Left arm Medium fast,Bowler,
Ravinderpal Singh,Canada,Right hand Bat,Right arm Offbreak,Batter,
Junaid Siddiqui,Canada,Right hand Bat,Legbreak,Allrounder,
Dilon Heyliger,Canada,Right hand Bat,Right arm Medium,Bowler,
Kaleem Sana,Canada,Right hand Bat,Left arm Medium fast,Bowler,
Shreyas Movva,Canada,Right hand Bat,,Wicketkeeper Batter,
Saad Bin Zafar,Canada,Left hand Bat,Slow Left arm Orthodox,Allrounder,
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder,"He demonstrated his power against seamers - though looked awkward against spin - in the 2020 CPL for Barbados Tridents, earning him a spot in the T20I side in late 2020. While his first two appearances did not go to plan, the withdrawal of several senior players gave him a chance in the Test and ODI squads in Bangladesh in early 2021."
Zane Green,Namibia,Left hand Bat,,Wicketkeeper Batter,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder,
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler,
Craig Young,Ireland,Right hand Bat,Right arm Fast medium,Bowler,
Dilpreet Bajwa,Canada,Right hand Bat,Right arm Offbreak,Allrounder,
Nikhil Dutta,Canada,Right hand Bat,Right arm Offbreak,Bowler,
Henry Ssenyondo,Uganda,Right hand Bat,Slow Left arm Orthodox,Bowler,
Henry Ssenyondo,Uganda,Right hand Bat,Slow Left arm Orthodox,Bowler,
Bilal Hassan,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Ronak Patel,Uganda,Right hand Bat,Slow Left arm Orthodox,Batter,
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler,"Early in 2018, at the U-19 World Cup in New Zealand, he took 4 for 14 to beat the home team and set up a semi-final against Australia. That week he was signed by Kings XI Punjab (for about US$630,000) for whom he took 14 wickets in that year's IPL. By the time he played that tournament, he had become the youngest to take five wickets in an ODI - against Zimbabwe in a Sharjah bilateral game that February which Afghanistan won comfortably - at the age of 16 years and 325 days. He had also helped beat West Indies with a four-wicket bag in the final of the World Cup Qualifier tournament in Harare that March, taking Afghanistan to their second World Cup; Mujeeb was the joint-highest wicket-taker in the Qualifier, with 17 wickets."
Bilal Hassan,Uganda,Right hand Bat,Right arm Medium fast,Bowler,
Tangeni Lungameni,Namibia,Right hand Bat,Left arm Medium,Bowler,
Naseem Khushi,Oman,Right hand Bat,,Wicketkeeper,
Mohammad Nadeem,Oman,Right hand Bat,Right arm Medium fast,Allrounder,"As for his bowling, Nadeem's slow jog into the crease belies the consistent 130-135kph pace he is able to generate - at times he has been clocked above 140kph - by flinging the ball in with his wiry frame. In a team that has been frequently loaded with quality frontline fast-bowling options, his presence has allowed Oman to leave one out in favour of an extra spinner when conditions have called for it without suffering much of a drop-off in pace quality. Though he may not be a full quota bowler, his strike rate is indicative of his effectiveness at creating breakthroughs when called upon, particularly in the middle overs.
"
Malan Kruger,Namibia,Right hand Bat,,Batter,
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,"Undeterred, Sodhi left school early and a training stint with Dipak Patel and Matt Horne was when his career finally got some traction. A move to Northern Districts allayed the frustration of not being able to displace the spinner in the Auckland side, and after an encouraging 2012-13 season, Sodhi earned a trip to the subcontinent with New Zealand A, which cleared the path to the New Zealand side.Andrew Fidel Fernando"
JP Kotze,Namibia,Left hand Bat,,Batter,
Brad Currie,Scotland,Right hand Bat,Left arm Medium,Bowler,
Fred Achelam,Uganda,Right hand Bat,,Wicketkeeper Batter,
